Video Title,Comment
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Dimyati dari PKS ya,kok semalam 
Nyebut2 Prabowo 😅😅😅sok akrab Lo 😅😅"
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Cocok bu Airin dan pak Ade memang luar biasa .... sama² Berpengalaman dan cerdas
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","melihat debat ke satu dan kedua dari cara penyampaiannya jelas, lugas dan tegas terlihat wawasan pengetahuan dan kemampuan bu airin lebih unggul, saya pilih bu airin."
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Ada 2 tipe kualitas orang pintar dan cerdas
 1 cara berfikirnya luas 
2 cara berfikir yg sempit"
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Aidin aja
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Yg ga adil nya juga perangkat perangkat pemerintahan yang dibawah seperti camat, kades, rt harus di audit.. bacokok kabeh eta puguh loba na.. di banten loba jasa desa desa tertinggal.. padahal camat kadesna glamor laju rt na srua di stir ku eta... Nu benghar di data nu balangsak boro boro di data di tempo geh hente..."
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Ga nyambung.....jawabannya pk.....percis jaka sambung bawa golok.....Airin tetap yang terbaik....
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Visi misinya...02 .ceramah cocok untuk  khotbah ...AIRIN ADE PILIHAN RAKYAT BANTEN...
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Pilih 02 ....ga Ah Rugi dong
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Tetap Bu Airin,dah terbukti 2 priode bikin bgus maju tangsel"
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Dukung Andra-Soni
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Dukung Andra-Soni
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Airin bukan yang lain
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Baru 10 H Pak Prabowo menjabat, DPRD PAN terTangkap tangan KPK"
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Pemikiran sempit, Pak Dm ini,,,,, jual pak prabowonya Di Bantah mentah"" @PRABOWO PUNYA RAKYAT Bukan PUNYA GERBONG."
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Insyaallah saya dan keluarga pilih Airin.
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","No 2 hy bisa jual pak prabowo, Gak Pede Dgn Dirinya Membangun Banten,,,, Pantes Pak prabowo beri mandat ke Bu airin sebelum jd president😊"
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Lapangan kerja yg dibahas..masuk kerja di pabrik harus ada uang 20 jt Smpai 40 jt ,itu aja diurus tuh ,jngn bnyk janji ,hoak"
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Airin-ade  banten maju bersama.
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10","Pemenangnya dia lgi ,dia lah bukan airin"
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Coblos no 2 !. Tenggelamkan Kim plus
